E+Version,Climate,System,Parametric,Heating [kBtu],Cooling [kBtu],Fan [kBtu],Heat [kWh],Cool [kWh],Fan [kWh],U,SHGC,Run
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00011Table.csv,17315.10,21355.66,4805.99,5073.32,6257.2,1408.15507,0.3,0.7,11
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00012Table.csv,16454.03,24339.67,5519.73,4821.03,7131.5,1617.28089,0.3,0.85,12
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00013Table.csv,25555.84,13028.29,2961.62,7487.86,3817.3,867.75466,0.5,0.1,13
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00014Table.csv,23481.43,15177.21,3444.50,6880.06,4446.9,1009.2385,0.5,0.25,14
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00015Table.csv,22342.22,16659.27,3812.40,6546.27,4881.2,1117.0332,0.5,0.4,15
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00016Table.csv,21095.91,18731.42,4294.60,6181.10,5488.3,1258.3178,0.5,0.55,16
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00017Table.csv,19933.03,21275.27,4890.72,5840.38,6233.7,1432.98096,0.5,0.7,17
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00018Table.csv,18988.15,24133.28,5579.63,5563.53,7071.1,1634.83159,0.5,0.85,18
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00019Table.csv,28130.21,13142.78,3053.24,8242.15,3850.8,894.59932,0.7,0.1,19
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00020Table.csv,25801.07,15484.96,3580.19,7559.71,4537.1,1048.99567,0.7,0.25,20
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00021Table.csv,24438.16,17223.44,4005.46,7160.38,5046.5,1173.59978,0.7,0.4,21
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00022Table.csv,23157.71,19308.92,4501.62,6785.21,5657.5,1318.97466,0.7,0.55,22
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00023Table.csv,22110.56,21581.11,5039.02,6478.39,6323.3,1476.43286,0.7,0.7,23
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00024Table.csv,21199.59,24103.01,5662.44,6211.48,7062.2,1659.09492,0.7,0.85,24
