Run,Climate,System,Parametric,Heating [kBtu]_92,Cooling [kBtu]_92,Fan [kBtu]_92,Heat [kWh]_92,Cool [kWh]_92,Fan [kWh]_92,Heating [kBtu]_95,Cooling [kBtu]_95,Fan [kBtu]_95,Heat [kWh]_95,Cool [kWh]_95,Fan [kWh]_95,U,SHGC,Heat%Diff,Cool%Diff,Fan%Diff
6,2A,Elec,HOU+elecres+slab+IECC_2018_para00006Table.csv,8945.29,21850.3,4881.19,2620.97,6402.1,1430.18867,8975.05,21603.12,4823.99,2629.69,6329.7,1413.42907,0.1,0.85,0.332689046,-1.131243049,-1.17184539
7,2A,Elec,HOU+elecres+slab+IECC_2018_para00007Table.csv,16003.13,10332.08,2317.21,4688.92,3027.3,678.94253,15716.96,10667.67,2377.57,4605.07,3125.6,696.62801,0.3,0.1,-1.788212681,3.248039117,2.604856703
8,2A,Elec,HOU+elecres+slab+IECC_2018_para00008Table.csv,14364.56,12445.94,2786.15,4208.82,3646.7,816.34195,14171.64,12810.23,2860.54,4152.29,3753.4,838.13822,0.3,0.25,-1.343027562,2.926978597,2.669992642
9,2A,Elec,HOU+elecres+slab+IECC_2018_para00009Table.csv,13506.44,13948.85,3148.16,3957.39,4087,922.41088,13107.37,14898.7,3342.11,3840.46,4365.3,979.23823,0.3,0.4,-2.95466459,6.809521932,6.160741513
10,2A,Elec,HOU+elecres+slab+IECC_2018_para00010Table.csv,12641.48,15977.84,3627.19,3703.95,4681.5,1062.76667,12323.53,16996.8,3842.73,3610.79,4980.1,1125.91989,0.3,0.55,-2.515132722,6.377332606,5.942341041
11,2A,Elec,HOU+elecres+slab+IECC_2018_para00011Table.csv,11850.63,18566.34,4229.88,3472.23,5439.9,1239.35484,11729.32,19121.34,4356.21,3436.69,5602.6,1276.36953,0.3,0.7,-1.023658658,2.989280601,2.986609549
12,2A,Elec,HOU+elecres+slab+IECC_2018_para00012Table.csv,11221.19,21546.72,4946.15,3287.81,6313.2,1449.22195,11268.34,21244,4868.05,3301.62,6224.5,1426.33865,0.3,0.85,0.420187164,-1.404947017,-1.579005893
13,2A,Elec,HOU+elecres+slab+IECC_2018_para00013Table.csv,18498.47,10385.96,2406.87,5420.05,3043.1,705.21291,18204.7,10708.37,2466.18,5333.98,3137.6,722.59074,0.5,0.1,-1.588077284,3.104286941,2.464196238
14,2A,Elec,HOU+elecres+slab+IECC_2018_para00014Table.csv,16740.16,12491.38,2879.17,4904.87,3660,843.59681,16550.68,12819.41,2947.81,4849.35,3756.1,863.70833,0.5,0.25,-1.131888823,2.626050925,2.384020395
15,2A,Elec,HOU+elecres+slab+IECC_2018_para00015Table.csv,15808.14,13956.55,3243.83,4631.79,4089.3,950.44219,15389.18,14834.55,3425.11,4509.03,4346.5,1003.55723,0.5,0.4,-2.650280172,6.290952993,5.588455622
16,2A,Elec,HOU+elecres+slab+IECC_2018_para00016Table.csv,14825.29,15990.67,3727.25,4343.81,4685.3,1092.08425,14506.94,16874.15,3916.37,4250.53,4944.1,1147.49641,0.5,0.55,-2.147344167,5.524971749,5.073982158
17,2A,Elec,HOU+elecres+slab+IECC_2018_para00017Table.csv,13937.57,18528.07,4319.42,4083.71,5428.7,1265.59006,13832.43,18929.91,4417.74,4052.9,5546.5,1294.39782,0.5,0.7,-0.754363924,2.168817367,2.276231531
18,2A,Elec,HOU+elecres+slab+IECC_2018_para00018Table.csv,13232.87,21362.47,5005.85,3877.23,6259.2,1466.71405,13303.62,20996.46,4920.7,3897.96,6152,1441.7651,0.5,0.85,0.53465348,-1.713331838,-1.701009819
